epoch,loss,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted
1,0.5350725861887137,0.41554428537686666,0.8113207547169812,0.8194260546544558,0.8113207547169812,0.7835623576650191
2,0.27366755325347186,0.3643180420001348,0.8417190775681341,0.8354918347967423,0.8417190775681341,0.8262362072081688
3,0.1621351103298366,0.3441113978624344,0.8532494758909853,0.8451984725950188,0.8532494758909853,0.8463212853940805
4,0.11234462807575861,0.34413189589977267,0.8542976939203354,0.8464167908306282,0.8542976939203354,0.8484847488538221
5,0.07291078170140584,0.37050752838452655,0.8522012578616353,0.8736441601733088,0.8522012578616353,0.8594329306745909
