loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0128,2.7854716777801514,1.8194945848375454e-05,0.18050541516245489,50,,,,,,,,,,,,,
0.8288,5.456223487854004,1.6389891696750904e-05,0.36101083032490977,100,,,,,,,,,,,,,
0.6606,3.401196002960205,1.4584837545126355e-05,0.5415162454873647,150,,,,,,,,,,,,,
0.595,16.457168579101562,1.2779783393501806e-05,0.7220216606498195,200,,,,,,,,,,,,,
0.5934,8.38747501373291,1.0974729241877257e-05,0.9025270758122743,250,,,,,,,,,,,,,
,,,1.0,277,0.5441482663154602,0.7472924187725631,0.7489063001551229,0.7472924187725631,0.7364750608054471,1.1087,499.692,31.569,,,,,
0.4653,9.342061996459961,9.169675090252709e-06,1.0830324909747293,300,,,,,,,,,,,,,
0.44,5.760470390319824,7.36462093862816e-06,1.263537906137184,350,,,,,,,,,,,,,
0.4548,3.4693098068237305,5.559566787003611e-06,1.444043321299639,400,,,,,,,,,,,,,
0.4299,6.345788955688477,3.7545126353790616e-06,1.6245487364620939,450,,,,,,,,,,,,,
0.4149,6.116447925567627,1.949458483754513e-06,1.8050541516245486,500,,,,,,,,,,,,,
0.4454,7.445066928863525,1.444043321299639e-07,1.9855595667870036,550,,,,,,,,,,,,,
,,,2.0,554,0.49874866008758545,0.776173285198556,0.7767448388402567,0.776173285198556,0.771315212937864,1.1346,488.261,30.847,,,,,
,,,2.0,554,,,,,,,,,37.6755,117.477,14.705,146577790573056.0,0.5752873050607068
,,,2.0,554,0.49874866008758545,0.776173285198556,0.7767448388402567,0.776173285198556,0.771315212937864,1.1716,472.875,29.875,,,,,
