epoch,loss,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted
1,0.9460195677621024,0.7605439755651686,0.6389891696750902,0.6212279910063968,0.6389891696750902,0.6096978644384831
2,0.6753475666046143,0.7014428244696723,0.6805054151624549,0.6727325339154137,0.6805054151624549,0.6701358910674468
3,0.5810369185038975,0.6673183374934726,0.6913357400722022,0.7018764651294918,0.6913357400722022,0.6957842106748623
4,0.5467545752014432,0.7354885008600023,0.6768953068592057,0.6925173710532007,0.6768953068592057,0.682498235203404
5,0.43055461261953626,0.6358504792054495,0.7310469314079422,0.7240136255830707,0.7310469314079422,0.7262779935967516
