epoch,loss,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted
1,0.6448610484600067,0.46512139638264977,0.790356394129979,0.7611671503070898,0.790356394129979,0.7623482922635685
2,0.40126654244959353,0.39685839613278706,0.810272536687631,0.8092385365032392,0.810272536687631,0.809709905763392
3,0.3222288044169545,0.3837042212486267,0.8322851153039832,0.8307581228480475,0.8322851153039832,0.830858758188975
4,0.2423441062370936,0.38741562763849896,0.8238993710691824,0.8221448243977497,0.8238993710691824,0.8224747869637055
5,0.18742680185629676,0.4080879052480062,0.8301886792452831,0.8234167454902998,0.8301886792452831,0.8260752714036514
