loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0043,5.588858127593994,1.8194945848375454e-05,0.18050541516245489,50,,,,,,,,,,,,,
0.763,5.3495354652404785,1.6389891696750904e-05,0.36101083032490977,100,,,,,,,,,,,,,
0.6149,10.39703369140625,1.4584837545126355e-05,0.5415162454873647,150,,,,,,,,,,,,,
0.5593,21.53338623046875,1.2779783393501806e-05,0.7220216606498195,200,,,,,,,,,,,,,
0.5631,7.338728427886963,1.0974729241877257e-05,0.9025270758122743,250,,,,,,,,,,,,,
,,,1.0,277,0.5388668179512024,0.7563176895306859,0.7576045110827815,0.7563176895306859,0.7460508170526619,2.0503,270.203,17.071,,,,,
0.4164,6.4426045417785645,9.169675090252709e-06,1.0830324909747293,300,,,,,,,,,,,,,
0.3822,4.941158771514893,7.36462093862816e-06,1.263537906137184,350,,,,,,,,,,,,,
0.4268,6.402112007141113,5.559566787003611e-06,1.444043321299639,400,,,,,,,,,,,,,
0.3935,6.414340972900391,3.7545126353790616e-06,1.6245487364620939,450,,,,,,,,,,,,,
0.3774,2.1819934844970703,1.949458483754513e-06,1.8050541516245486,500,,,,,,,,,,,,,
0.3554,11.352813720703125,1.444043321299639e-07,1.9855595667870036,550,,,,,,,,,,,,,
,,,2.0,554,0.5046438574790955,0.7870036101083032,0.7857912941938506,0.7870036101083032,0.7844383053142668,2.1858,253.45,16.012,,,,,
,,,2.0,554,,,,,,,,,71.1735,62.186,7.784,291134996716032.0,0.5318959426363453
,,,2.0,554,0.5046438574790955,0.7870036101083032,0.7857912941938506,0.7870036101083032,0.7844383053142668,2.0657,268.194,16.944,,,,,
