loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9852,35.436161041259766,1.8194945848375454e-05,0.18050541516245489,50,,,,,,,,,,,,,
0.7497,115.53961944580078,1.6389891696750904e-05,0.36101083032490977,100,,,,,,,,,,,,,
0.6747,47.40610122680664,1.4584837545126355e-05,0.5415162454873647,150,,,,,,,,,,,,,
0.6601,69.81754302978516,1.2779783393501806e-05,0.7220216606498195,200,,,,,,,,,,,,,
0.6203,25.062400817871094,1.0974729241877257e-05,0.9025270758122743,250,,,,,,,,,,,,,
,,,1.0,277,0.5572521686553955,0.7490974729241877,0.7459600581277435,0.7490974729241877,0.7444429248354605,2.4546,225.7,14.259,,,,,
0.5299,24.207048416137695,9.169675090252709e-06,1.0830324909747293,300,,,,,,,,,,,,,
0.5045,32.94304656982422,7.36462093862816e-06,1.263537906137184,350,,,,,,,,,,,,,
0.5273,41.51890182495117,5.559566787003611e-06,1.444043321299639,400,,,,,,,,,,,,,
0.4881,15.087742805480957,3.7545126353790616e-06,1.6245487364620939,450,,,,,,,,,,,,,
0.4605,25.42363166809082,1.949458483754513e-06,1.8050541516245486,500,,,,,,,,,,,,,
0.4813,27.300077438354492,1.444043321299639e-07,1.9855595667870036,550,,,,,,,,,,,,,
,,,2.0,554,0.5203436017036438,0.776173285198556,0.7764529109113197,0.776173285198556,0.7737270568628306,2.4583,225.359,14.237,,,,,
,,,2.0,554,,,,,,,,,62.8498,70.422,8.815,26445863557632.0,0.6060152768228029
,,,2.0,554,0.5203436017036438,0.776173285198556,0.7764529109113197,0.776173285198556,0.7737270568628306,2.4389,227.152,14.351,,,,,
