epoch,loss,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted
1,0.8571335332734245,0.6298778653144836,0.7184115523465704,0.7066139035453115,0.7184115523465704,0.701967857383304
2,0.4631705548082079,0.5905908279948764,0.7563176895306859,0.763761953770462,0.7563176895306859,0.7581850660373195
3,0.29654095683779036,0.6182287401623197,0.7292418772563177,0.7618624404407596,0.7292418772563177,0.7252205232188877
4,0.19315468062247548,0.5742181671990289,0.7490974729241877,0.7476901948440529,0.7490974729241877,0.7482787772452172
