model_key,model_name,train_samples,test_samples,epochs_requested,eval_loss,accuracy,precision_weighted,recall_weighted,f1_weighted,prediction_path,curve_path,model_output_dir
roberta,roberta-base,2213,554,2,0.5381322503089905,0.796028880866426,0.7949622813008714,0.796028880866426,0.7914526984718339,data\baseline1_roberta_test_predictions.csv,visualizations\baseline1_roberta_training_curve.png,models\baseline1\roberta
bert,bert-base-uncased,2213,554,2,0.5046438574790955,0.7870036101083032,0.7857912941938506,0.7870036101083032,0.7844383053142668,data\baseline1_bert_test_predictions.csv,visualizations\baseline1_bert_training_curve.png,models\baseline1\bert
albert,albert-base-v2,2213,554,2,0.5203436017036438,0.776173285198556,0.7764529109113197,0.776173285198556,0.7737270568628306,data\baseline1_albert_test_predictions.csv,visualizations\baseline1_albert_training_curve.png,models\baseline1\albert
distilbert,distilbert-base-uncased,2213,554,2,0.49874866008758545,0.776173285198556,0.7767448388402567,0.776173285198556,0.771315212937864,data\baseline1_distilbert_test_predictions.csv,visualizations\baseline1_distilbert_training_curve.png,models\baseline1\distilbert
cnn,TextCNN,2213,554,5,0.5905908279948764,0.7563176895306859,0.763761953770462,0.7563176895306859,0.7581850660373195,data\baseline1_cnn_test_predictions.csv,visualizations\baseline1_cnn_training_curve.png,models\baseline1\cnn
lstm,BiLSTM,2213,554,5,0.6358504792054495,0.7310469314079422,0.7240136255830707,0.7310469314079422,0.7262779935967516,data\baseline1_lstm_test_predictions.csv,visualizations\baseline1_lstm_training_curve.png,models\baseline1\lstm
